lineage	month	lineage_counts_covspectrum	lineage_counts_genbank	total_counts_covspectrum	total_counts_genbank	monthly_frequency_covspectrum	monthly_frequency_genbank
B	2019-12	0	2	0	2	0	1
B	2020-01	33	35	99	67	0.333	0.522
BA.1	2020-01	39	0	99	67	0.394	0
A	2020-01	7	17	99	67	0.0707	0.254
B.1.2	2020-01	4	5	99	67	0.0404	0.0746
BA.1.1	2020-01	7	0	99	67	0.0707	0
B.1	2020-01	0	4	99	67	0	0.0597
B.1.177	2020-01	0	4	99	67	0	0.0597
BA.1.1.1	2020-01	2	0	99	67	0.0202	0
B.42	2020-01	0	1	99	67	0	0.0149
JN.1.4	2020-01	1	1	99	67	0.0101	0.0149
B.1.36.16	2020-01	1	0	99	67	0.0101	0
BA.1.15.3	2020-01	1	0	99	67	0.0101	0
BA.1.17.2	2020-01	1	0	99	67	0.0101	0
BA.1.18	2020-01	1	0	99	67	0.0101	0
BA.1.5	2020-01	1	0	99	67	0.0101	0
BC.2	2020-01	1	0	99	67	0.0101	0
B	2020-02	299	268	569	535	0.525	0.501
A	2020-02	148	169	569	535	0.26	0.316
B.1	2020-02	29	25	569	535	0.051	0.0467
A.1	2020-02	0	22	569	535	0	0.0411
B.43	2020-02	19	9	569	535	0.0334	0.0168
BA.1	2020-02	14	0	569	535	0.0246	0
B.4	2020-02	8	7	569	535	0.0141	0.0131
A.5	2020-02	7	0	569	535	0.0123	0
B.42	2020-02	7	2	569	535	0.0123	0.00374
B.1.2	2020-02	6	5	569	535	0.0105	0.00935
B.33	2020-02	6	2	569	535	0.0105	0.00374
B.1.177	2020-02	0	5	569	535	0	0.00935
B.40	2020-02	3	4	569	535	0.00527	0.00748
B.5	2020-02	4	4	569	535	0.00703	0.00748
B.1.1	2020-02	1	3	569	535	0.00176	0.00561
B.55	2020-02	3	1	569	535	0.00527	0.00187
R.1	2020-02	3	0	569	535	0.00527	0
B.1.1.286	2020-02	0	2	569	535	0	0.00374
A.6	2020-02	2	1	569	535	0.00351	0.00187
BA.1.1	2020-02	2	0	569	535	0.00351	0
B.1.1.311	2020-02	0	1	569	535	0	0.00187
B.1.468	2020-02	1	1	569	535	0.00176	0.00187
B.3	2020-02	0	1	569	535	0	0.00187
B.61	2020-02	0	1	569	535	0	0.00187
BA.4.6	2020-02	1	1	569	535	0.00176	0.00187
JN.1	2020-02	1	1	569	535	0.00176	0.00187
B.1.14	2020-02	1	0	569	535	0.00176	0
B.1.157	2020-02	1	0	569	535	0.00176	0
B.1.258	2020-02	1	0	569	535	0.00176	0
B.1.492	2020-02	1	0	569	535	0.00176	0
BA.1.15	2020-02	1	0	569	535	0.00176	0
B.1	2020-03	2253	2221	6815	5903	0.331	0.376
A.1	2020-03	914	919	6815	5903	0.134	0.156
B.1.1	2020-03	645	532	6815	5903	0.0946	0.0901
B	2020-03	521	397	6815	5903	0.0764	0.0673
B.40	2020-03	308	197	6815	5903	0.0452	0.0334
A	2020-03	187	171	6815	5903	0.0274	0.029
B.1.1.142	2020-03	159	68	6815	5903	0.0233	0.0115
B.33	2020-03	149	58	6815	5903	0.0219	0.00983
B.55	2020-03	102	51	6815	5903	0.015	0.00864
B.4	2020-03	98	69	6815	5903	0.0144	0.0117
B.3	2020-03	91	67	6815	5903	0.0134	0.0114
B.1.371	2020-03	55	69	6815	5903	0.00807	0.0117
B.1.595	2020-03	57	56	6815	5903	0.00836	0.00949
A.6	2020-03	64	33	6815	5903	0.00939	0.00559
B.1.91	2020-03	47	55	6815	5903	0.0069	0.00932
B.29	2020-03	63	29	6815	5903	0.00924	0.00491
B.1.1.1	2020-03	57	46	6815	5903	0.00836	0.00779
B.11	2020-03	56	13	6815	5903	0.00822	0.0022
B.39	2020-03	56	43	6815	5903	0.00822	0.00728
A.2	2020-03	48	38	6815	5903	0.00704	0.00644
B.1.37	2020-03	4	38	6815	5903	0.000587	0.00644
B.61	2020-03	41	19	6815	5903	0.00602	0.00322
A.5	2020-03	33	33	6815	5903	0.00484	0.00559
B.23	2020-03	37	25	6815	5903	0.00543	0.00424
B.6	2020-03	28	30	6815	5903	0.00411	0.00508
A.3	2020-03	23	28	6815	5903	0.00337	0.00474
B.3.1	2020-03	27	26	6815	5903	0.00396	0.0044
B.1.1.257	2020-03	29	23	6815	5903	0.00426	0.0039
B.1.128	2020-03	23	22	6815	5903	0.00337	0.00373
B.1.13	2020-03	25	12	6815	5903	0.00367	0.00203
B.31	2020-03	22	20	6815	5903	0.00323	0.00339
B.1.8	2020-03	23	14	6815	5903	0.00337	0.00237
B.1.76	2020-03	22	8	6815	5903	0.00323	0.00136
B.1.320	2020-03	17	19	6815	5903	0.00249	0.00322
B.1.1.323	2020-03	21	7	6815	5903	0.00308	0.00119
B.28	2020-03	21	13	6815	5903	0.00308	0.0022
B.1.1.10	2020-03	20	14	6815	5903	0.00293	0.00237
B.27	2020-03	20	15	6815	5903	0.00293	0.00254
B.43	2020-03	20	12	6815	5903	0.00293	0.00203
B.1.314	2020-03	15	16	6815	5903	0.0022	0.00271
B.1.332	2020-03	14	16	6815	5903	0.00205	0.00271
B.1.369	2020-03	12	16	6815	5903	0.00176	0.00271
B.1.93	2020-03	17	14	6815	5903	0.00249	0.00237
B.1.1.7	2020-03	6	14	6815	5903	0.00088	0.00237
B.1.391	2020-03	11	14	6815	5903	0.00161	0.00237
B.12	2020-03	1	13	6815	5903	0.000147	0.0022
B.58	2020-03	14	11	6815	5903	0.00205	0.00186
B.5	2020-03	13	12	6815	5903	0.00191	0.00203
B.1.1.369	2020-03	13	9	6815	5903	0.00191	0.00152
B.1.319	2020-03	10	11	6815	5903	0.00147	0.00186
B.1.356	2020-03	6	11	6815	5903	0.00088	0.00186
B.1.1.33	2020-03	9	10	6815	5903	0.00132	0.00169
B.1.1.372	2020-03	11	6	6815	5903	0.00161	0.00102
B.4.4	2020-03	9	9	6815	5903	0.00132	0.00152
B.35	2020-03	10	5	6815	5903	0.00147	0.000847
B.1.1.17	2020-03	9	8	6815	5903	0.00132	0.00136
B.1.273	2020-03	0	8	6815	5903	0	0.00136
B.1.413	2020-03	8	8	6815	5903	0.00117	0.00136
B.1.1.71	2020-03	6	7	6815	5903	0.00088	0.00119
B.1.147	2020-03	5	7	6815	5903	0.000734	0.00119
B.1.166	2020-03	5	7	6815	5903	0.000734	0.00119
B.1.439	2020-03	3	7	6815	5903	0.00044	0.00119
B.1.110	2020-03	8	6	6815	5903	0.00117	0.00102
B.47	2020-03	8	3	6815	5903	0.00117	0.000508
B.1.2	2020-03	7	2	6815	5903	0.00103	0.000339
B.1.22	2020-03	7	0	6815	5903	0.00103	0
B.1.395	2020-03	7	3	6815	5903	0.00103	0.000508
