lineage	month	lineage_counts_covspectrum	lineage_counts_genbank	total_counts_covspectrum	total_counts_genbank	monthly_frequency_covspectrum	monthly_frequency_genbank
B.1.69	2020-03	7	0	6815	5903	0.00103	0
B.41	2020-03	6	6	6815	5903	0.00088	0.00102
B.1.383	2020-03	6	2	6815	5903	0.00088	0.000339
B.10	2020-03	6	4	6815	5903	0.00088	0.000678
B.1.153	2020-03	5	5	6815	5903	0.000734	0.000847
B.1.119	2020-03	5	0	6815	5903	0.000734	0
B.1.344	2020-03	5	4	6815	5903	0.000734	0.000678
B.1.510	2020-03	5	3	6815	5903	0.000734	0.000508
B.4.5	2020-03	5	2	6815	5903	0.000734	0.000339
B.1.336	2020-03	4	4	6815	5903	0.000587	0.000678
B.1.442	2020-03	0	4	6815	5903	0	0.000678
B.1.517	2020-03	4	3	6815	5903	0.000587	0.000508
B.34	2020-03	4	0	6815	5903	0.000587	0
B.57	2020-03	4	3	6815	5903	0.000587	0.000508
B.1.1.113	2020-03	3	3	6815	5903	0.00044	0.000508
B.1.1.231	2020-03	3	3	6815	5903	0.00044	0.000508
B.1.1.61	2020-03	3	3	6815	5903	0.00044	0.000508
B.1.177.21	2020-03	0	3	6815	5903	0	0.000508
B.1.36	2020-03	3	3	6815	5903	0.00044	0.000508
B.1.428	2020-03	2	3	6815	5903	0.000293	0.000508
B.1.483	2020-03	3	3	6815	5903	0.00044	0.000508
B.1.507	2020-03	3	3	6815	5903	0.00044	0.000508
B.30	2020-03	3	3	6815	5903	0.00044	0.000508
B.37	2020-03	3	3	6815	5903	0.00044	0.000508
A.4	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.104	2020-03	1	2	6815	5903	0.000147	0.000339
B.1.108	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.111	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.12	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.142	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.151	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.182	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.201	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.211	2020-03	0	2	6815	5903	0	0.000339
B.1.215	2020-03	0	2	6815	5903	0	0.000339
B.1.220	2020-03	0	2	6815	5903	0	0.000339
B.1.302	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.323	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.378	2020-03	2	2	6815	5903	0.000293	0.000339
B.1.577	2020-03	0	2	6815	5903	0	0.000339
B.1.6	2020-03	2	2	6815	5903	0.000293	0.000339
B.6.6	2020-03	1	2	6815	5903	0.000147	0.000339
B.1.1.8	2020-03	2	0	6815	5903	0.000293	0
B.1.105	2020-03	2	0	6815	5903	0.000293	0
B.1.223	2020-03	2	1	6815	5903	0.000293	0.000169
B.1.429	2020-03	2	1	6815	5903	0.000293	0.000169
B.1.468	2020-03	2	1	6815	5903	0.000293	0.000169
B.1.513	2020-03	2	1	6815	5903	0.000293	0.000169
B.15	2020-03	2	0	6815	5903	0.000293	0
B.32	2020-03	2	0	6815	5903	0.000293	0
B.45	2020-03	2	0	6815	5903	0.000293	0
B.60	2020-03	2	1	6815	5903	0.000293	0.000169
P.1	2020-03	2	0	6815	5903	0.000293	0
R.1	2020-03	2	0	6815	5903	0.000293	0
AY.29	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.13	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.166	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.194	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.214	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.487	2020-03	0	1	6815	5903	0	0.000169
B.1.1.5	2020-03	0	1	6815	5903	0	0.000169
B.1.1.89	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.157	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.159	2020-03	0	1	6815	5903	0	0.000169
B.1.177	2020-03	0	1	6815	5903	0	0.000169
B.1.178	2020-03	0	1	6815	5903	0	0.000169
B.1.190	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.229	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.258	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.265	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.277	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.280	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.324	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.441	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.450	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.589	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.590	2020-03	1	1	6815	5903	0.000147	0.000169
B.38	2020-03	0	1	6815	5903	0	0.000169
B.4.7	2020-03	1	1	6815	5903	0.000147	0.000169
B.53	2020-03	1	1	6815	5903	0.000147	0.000169
B.6.3	2020-03	1	1	6815	5903	0.000147	0.000169
C.36	2020-03	1	1	6815	5903	0.000147	0.000169
Q.4	2020-03	1	1	6815	5903	0.000147	0.000169
B.1.1.16	2020-03	1	0	6815	5903	0.000147	0
B.1.1.198	2020-03	1	0	6815	5903	0.000147	0
B.1.1.277	2020-03	1	0	6815	5903	0.000147	0
B.1.1.419	2020-03	1	0	6815	5903	0.000147	0
B.1.126	2020-03	1	0	6815	5903	0.000147	0
B.1.14	2020-03	1	0	6815	5903	0.000147	0
B.1.227	2020-03	1	0	6815	5903	0.000147	0
B.1.250	2020-03	1	0	6815	5903	0.000147	0
B.1.264	2020-03	1	0	6815	5903	0.000147	0
B.1.351	2020-03	1	0	6815	5903	0.000147	0
B.1.446	2020-03	1	0	6815	5903	0.000147	0
B.1.456	2020-03	1	0	6815	5903	0.000147	0
B.1.492	2020-03	1	0	6815	5903	0.000147	0
B.1.494	2020-03	1	0	6815	5903	0.000147	0
B.1.555	2020-03	1	0	6815	5903	0.000147	0
B.1.586	2020-03	1	0	6815	5903	0.000147	0
B.1.609	2020-03	1	0	6815	5903	0.000147	0
B.52	2020-03	1	0	6815	5903	0.000147	0
BA.1	2020-03	1	0	6815	5903	0.000147	0
C.25	2020-03	1	0	6815	5903	0.000147	0
B.1	2020-04	15758	13066	42998	34914	0.366	0.374
B.1.1	2020-04	7065	5960	42998	34914	0.164	0.171
B.40	2020-04	1750	1385	42998	34914	0.0407	0.0397
A.1	2020-04	1568	1387	42998	34914	0.0365	0.0397
B	2020-04	1610	1196	42998	34914	0.0374	0.0343
B.1.1.369	2020-04	608	450	42998	34914	0.0141	0.0129
B.3.1	2020-04	438	425	42998	34914	0.0102	0.0122
B.3	2020-04	520	396	42998	34914	0.0121	0.0113
B.1.93	2020-04	450	406	42998	34914	0.0105	0.0116
B.1.391	2020-04	488	404	42998	34914	0.0113	0.0116
B.1.320	2020-04	415	393	42998	34914	0.00965	0.0113
B.1.1.372	2020-04	445	373	42998	34914	0.0103	0.0107
B.1.371	2020-04	369	356	42998	34914	0.00858	0.0102
A	2020-04	382	319	42998	34914	0.00888	0.00914
B.33	2020-04	372	222	42998	34914	0.00865	0.00636
B.1.1.1	2020-04	329	273	42998	34914	0.00765	0.00782
B.1.1.10	2020-04	298	257	42998	34914	0.00693	0.00736
B.1.13	2020-04	308	253	42998	34914	0.00716	0.00725
B.39	2020-04	273	205	42998	34914	0.00635	0.00587
B.23	2020-04	231	161	42998	34914	0.00537	0.00461
B.1.222	2020-04	229	45	42998	34914	0.00533	0.00129
B.31	2020-04	216	147	42998	34914	0.00502	0.00421
B.1.595	2020-04	174	161	42998	34914	0.00405	0.00461
A.2.2	2020-04	186	84	42998	34914	0.00433	0.00241
B.45	2020-04	182	150	42998	34914	0.00423	0.0043
B.1.1.289	2020-04	148	137	42998	34914	0.00344	0.00392
B.1.369	2020-04	153	136	42998	34914	0.00356	0.0039
B.1.356	2020-04	153	100	42998	34914	0.00356	0.00286
A.3	2020-04	148	122	42998	34914	0.00344	0.00349
B.1.104	2020-04	120	113	42998	34914	0.00279	0.00324
B.29	2020-04	137	86	42998	34914	0.00319	0.00246
A.2.3	2020-04	136	108	42998	34914	0.00316	0.00309
B.28	2020-04	123	109	42998	34914	0.00286	0.00312
B.1.1.164	2020-04	123	101	42998	34914	0.00286	0.00289
B.1.23	2020-04	122	41	42998	34914	0.00284	0.00117
B.1.8	2020-04	122	59	42998	34914	0.00284	0.00169
B.1.332	2020-04	96	99	42998	34914	0.00223	0.00284
B.6	2020-04	121	85	42998	34914	0.00281	0.00243
B.1.1.8	2020-04	119	91	42998	34914	0.00277	0.00261
B.1.110	2020-04	103	95	42998	34914	0.0024	0.00272
B.1.142	2020-04	97	89	42998	34914	0.00226	0.00255
B.1.268	2020-04	94	85	42998	34914	0.00219	0.00243
B.1.384	2020-04	77	85	42998	34914	0.00179	0.00243
B.1.1.142	2020-04	102	49	42998	34914	0.00237	0.0014
A.2	2020-04	99	72	42998	34914	0.0023	0.00206
B.10	2020-04	96	69	42998	34914	0.00223	0.00198
B.1.1.220	2020-04	89	76	42998	34914	0.00207	0.00218
B.1.314	2020-04	81	74	42998	34914	0.00188	0.00212
B.61	2020-04	91	56	42998	34914	0.00212	0.0016
B.1.319	2020-04	90	70	42998	34914	0.00209	0.002
B.1.157	2020-04	89	71	42998	34914	0.00207	0.00203
B.1.1.83	2020-04	74	71	42998	34914	0.00172	0.00203
B.1.223	2020-04	84	71	42998	34914	0.00195	0.00203
B.1.35	2020-04	78	69	42998	34914	0.00181	0.00198
B.1.1.194	2020-04	82	67	42998	34914	0.00191	0.00192
B.1.166	2020-04	69	65	42998	34914	0.0016	0.00186
B.1.190	2020-04	80	25	42998	34914	0.00186	0.000716
B.35	2020-04	77	61	42998	34914	0.00179	0.00175
B.1.264	2020-04	46	61	42998	34914	0.00107	0.00175
B.60	2020-04	75	46	42998	34914	0.00174	0.00132
B.1.112	2020-04	61	59	42998	34914	0.00142	0.00169
A.5	2020-04	63	58	42998	34914	0.00147	0.00166
B.1.395	2020-04	60	57	42998	34914	0.0014	0.00163
B.1.22	2020-04	70	22	42998	34914	0.00163	0.00063
B.1.201	2020-04	69	47	42998	34914	0.0016	0.00135
B.1.44	2020-04	64	56	42998	34914	0.00149	0.0016
B.1.273	2020-04	63	54	42998	34914	0.00147	0.00155
B.55	2020-04	66	39	42998	34914	0.00153	0.00112
B.1.383	2020-04	56	51	42998	34914	0.0013	0.00146
B.1.360	2020-04	55	50	42998	34914	0.00128	0.00143
B.1.1.137	2020-04	60	35	42998	34914	0.0014	0.001
B.1.1.89	2020-04	60	45	42998	34914	0.0014	0.00129
B.52	2020-04	60	42	42998	34914	0.0014	0.0012
B.1.379	2020-04	49	48	42998	34914	0.00114	0.00137
A.6	2020-04	59	30	42998	34914	0.00137	0.000859
B.34	2020-04	58	44	42998	34914	0.00135	0.00126
B.4.5	2020-04	58	21	42998	34914	0.00135	0.000601
B.1.105	2020-04	53	47	42998	34914	0.00123	0.00135
B.1.315	2020-04	56	1	42998	34914	0.0013	2.86e-05
B.1.465	2020-04	56	43	42998	34914	0.0013	0.00123
B.1.215	2020-04	54	39	42998	34914	0.00126	0.00112
B.1.250	2020-04	54	35	42998	34914	0.00126	0.001
B.1.1.17	2020-04	44	43	42998	34914	0.00102	0.00123
B.1.128	2020-04	45	42	42998	34914	0.00105	0.0012
B.58	2020-04	48	40	42998	34914	0.00112	0.00115
B.1.162	2020-04	39	39	42998	34914	0.000907	0.00112
B.1.91	2020-04	48	39	42998	34914	0.00112	0.00112
B.1.609	2020-04	43	38	42998	34914	0.001	0.00109
B.1.260	2020-04	46	1	42998	34914	0.00107	2.86e-05
B.15	2020-04	46	31	42998	34914	0.00107	0.000888
B.1.1.3	2020-04	39	37	42998	34914	0.000907	0.00106
B.1.243	2020-04	40	36	42998	34914	0.00093	0.00103
B.1.289	2020-04	26	35	42998	34914	0.000605	0.001
B.1.370	2020-04	33	35	42998	34914	0.000767	0.001
B.4	2020-04	43	35	42998	34914	0.001	0.001
B.1.1.33	2020-04	43	32	42998	34914	0.001	0.000917
B.11	2020-04	43	25	42998	34914	0.001	0.000716
B.1.1.270	2020-04	36	34	42998	34914	0.000837	0.000974
B.26	2020-04	41	25	42998	34914	0.000954	0.000716
B.1.147	2020-04	39	33	42998	34914	0.000907	0.000945
B.1.382	2020-04	40	0	42998	34914	0.00093	0
B.1.1.279	2020-04	35	32	42998	34914	0.000814	0.000917
B.1.552	2020-04	33	32	42998	34914	0.000767	0.000917
B.20	2020-04	33	32	42998	34914	0.000767	0.000917
B.1.413	2020-04	36	31	42998	34914	0.000837	0.000888
B.1.151	2020-04	38	29	42998	34914	0.000884	0.000831
B.47	2020-04	38	27	42998	34914	0.000884	0.000773
B.1.545	2020-04	37	20	42998	34914	0.000861	0.000573
B.46	2020-04	37	28	42998	34914	0.000861	0.000802
B.57	2020-04	37	25	42998	34914	0.000861	0.000716
B.1.108	2020-04	28	30	42998	34914	0.000651	0.000859
B.1.2	2020-04	10	30	42998	34914	0.000233	0.000859
B.1.252	2020-04	33	30	42998	34914	0.000767	0.000859
B.1.1.323	2020-04	35	28	42998	34914	0.000814	0.000802
B.1.1.5	2020-04	35	23	42998	34914	0.000814	0.000659
B.1.229	2020-04	28	28	42998	34914	0.000651	0.000802
B.1.1.41	2020-04	34	25	42998	34914	0.000791	0.000716
B.1.1.71	2020-04	34	13	42998	34914	0.000791	0.000372
B.1.1.277	2020-04	33	27	42998	34914	0.000767	0.000773
B.1.38	2020-04	27	27	42998	34914	0.000628	0.000773
A.4	2020-04	28	26	42998	34914	0.000651	0.000745
B.1.76	2020-04	32	26	42998	34914	0.000744	0.000745
B.1.1.257	2020-04	32	23	42998	34914	0.000744	0.000659
B.1.119	2020-04	32	0	42998	34914	0.000744	0
B.1.1.419	2020-04	31	0	42998	34914	0.000721	0
B.1.70	2020-04	31	23	42998	34914	0.000721	0.000659
B.1.1.162	2020-04	26	25	42998	34914	0.000605	0.000716
B.1.1.43	2020-04	26	25	42998	34914	0.000605	0.000716
B.1.1.296	2020-04	30	17	42998	34914	0.000698	0.000487
B.1.78	2020-04	30	15	42998	34914	0.000698	0.00043
B.1.1.171	2020-04	23	24	42998	34914	0.000535	0.000687
B.27	2020-04	28	24	42998	34914	0.000651	0.000687
B.1.559	2020-04	29	23	42998	34914	0.000674	0.000659
B.1.199	2020-04	23	23	42998	34914	0.000535	0.000659
B.1.40	2020-04	25	23	42998	34914	0.000581	0.000659
B.1.1.363	2020-04	24	22	42998	34914	0.000558	0.00063
B.1.503	2020-04	2	22	42998	34914	4.65e-05	0.00063
B.1.153	2020-04	27	18	42998	34914	0.000628	0.000516
B.1.439	2020-04	18	21	42998	34914	0.000419	0.000601
B.4.4	2020-04	22	21	42998	34914	0.000512	0.000601
B.1.110.3	2020-04	24	13	42998	34914	0.000558	0.000372
B.1.450	2020-04	24	17	42998	34914	0.000558	0.000487
B.1.97	2020-04	21	19	42998	34914	0.000488	0.000544
B.1.220	2020-04	23	8	42998	34914	0.000535	0.000229
B.1.1.134	2020-04	20	18	42998	34914	0.000465	0.000516
B.1.1.198	2020-04	19	18	42998	34914	0.000442	0.000516
B.1.323	2020-04	20	18	42998	34914	0.000465	0.000516
B.1.67	2020-04	19	18	42998	34914	0.000442	0.000516
B.1.81	2020-04	18	18	42998	34914	0.000419	0.000516
B.51	2020-04	19	18	42998	34914	0.000442	0.000516
B.1.9	2020-04	22	15	42998	34914	0.000512	0.00043
B.13	2020-04	17	17	42998	34914	0.000395	0.000487
B.1.555	2020-04	20	14	42998	34914	0.000465	0.000401
B.1.1.213	2020-04	17	16	42998	34914	0.000395	0.000458
B.1.1.48	2020-04	16	16	42998	34914	0.000372	0.000458
B.1.1.7	2020-04	10	16	42998	34914	0.000233	0.000458
B.1.117	2020-04	17	16	42998	34914	0.000395	0.000458
B.1.378	2020-04	16	16	42998	34914	0.000372	0.000458
B.1.426	2020-04	14	16	42998	34914	0.000326	0.000458
B.1.428	2020-04	14	16	42998	34914	0.000326	0.000458
B.1.1.49	2020-04	19	6	42998	34914	0.000442	0.000172
B.1.256	2020-04	19	14	42998	34914	0.000442	0.000401
B.1.1.113	2020-04	13	15	42998	34914	0.000302	0.00043
B.1.1.70	2020-04	15	15	42998	34914	0.000349	0.00043
B.1.37	2020-04	3	15	42998	34914	6.98e-05	0.00043
B.1.232	2020-04	14	14	42998	34914	0.000326	0.000401
B.1.1.360	2020-04	14	13	42998	34914	0.000326	0.000372
B.1.1.378	2020-04	13	13	42998	34914	0.000302	0.000372
B.1.39	2020-04	13	13	42998	34914	0.000302	0.000372
B.1.489	2020-04	13	13	42998	34914	0.000302	0.000372
B.1.494	2020-04	5	13	42998	34914	0.000116	0.000372
B.30	2020-04	13	13	42998	34914	0.000302	0.000372
B.1.1.154	2020-04	15	9	42998	34914	0.000349	0.000258
B.1.493	2020-04	15	8	42998	34914	0.000349	0.000229
B.1.1.13	2020-04	14	12	42998	34914	0.000326	0.000344
B.1.431	2020-04	12	12	42998	34914	0.000279	0.000344
B.1.1.172	2020-04	14	3	42998	34914	0.000326	8.59e-05
B.1.344	2020-04	14	6	42998	34914	0.000326	0.000172
A.26	2020-04	11	11	42998	34914	0.000256	0.000315
B.1.1.114	2020-04	12	11	42998	34914	0.000279	0.000315
B.1.267	2020-04	11	11	42998	34914	0.000256	0.000315
B.1.336	2020-04	11	11	42998	34914	0.000256	0.000315
B.1.390	2020-04	11	11	42998	34914	0.000256	0.000315
B.19	2020-04	12	11	42998	34914	0.000279	0.000315
B.32	2020-04	13	9	42998	34914	0.000302	0.000258
L.2	2020-04	13	1	42998	34914	0.000302	2.86e-05
B.1.1.51	2020-04	10	10	42998	34914	0.000233	0.000286
B.1.254	2020-04	11	10	42998	34914	0.000256	0.000286
B.1.330	2020-04	11	10	42998	34914	0.000256	0.000286
B.1.36	2020-04	11	10	42998	34914	0.000256	0.000286
B.1.442	2020-04	2	10	42998	34914	4.65e-05	0.000286
B.1.1.285	2020-04	12	8	42998	34914	0.000279	0.000229
B.1.1.519	2020-04	12	4	42998	34914	0.000279	0.000115
B.1.14	2020-04	12	9	42998	34914	0.000279	0.000258
B.1.1.166	2020-04	11	9	42998	34914	0.000256	0.000258
B.1.1.190	2020-04	10	9	42998	34914	0.000233	0.000258
B.1.1.61	2020-04	10	9	42998	34914	0.000233	0.000258
B.1.277	2020-04	11	9	42998	34914	0.000256	0.000258
B.1.507	2020-04	7	9	42998	34914	0.000163	0.000258
C.14	2020-04	10	9	42998	34914	0.000233	0.000258
B.1.12	2020-04	10	5	42998	34914	0.000233	0.000143
B.1.225	2020-04	10	8	42998	34914	0.000233	0.000229
B.1.302	2020-04	10	7	42998	34914	0.000233	0.0002
B.1.139	2020-04	8	8	42998	34914	0.000186	0.000229
B.1.471	2020-04	8	8	42998	34914	0.000186	0.000229
B.1.1.254	2020-04	9	6	42998	34914	0.000209	0.000172
B.1.195	2020-04	9	2	42998	34914	0.000209	5.73e-05
B.1.441	2020-04	9	5	42998	34914	0.000209	0.000143
B.1.1.16	2020-04	7	7	42998	34914	0.000163	0.0002
B.1.1.231	2020-04	0	7	42998	34914	0	0.0002
B.1.163	2020-04	7	7	42998	34914	0.000163	0.0002
B.1.248	2020-04	7	7	42998	34914	0.000163	0.0002
B.1.415	2020-04	8	7	42998	34914	0.000186	0.0002
B.1.577	2020-04	4	7	42998	34914	9.3e-05	0.0002
B.4.7	2020-04	8	7	42998	34914	0.000186	0.0002
B.1.1.249	2020-04	8	5	42998	34914	0.000186	0.000143
B.1.1.274	2020-04	8	6	42998	34914	0.000186	0.000172
B.1.1.339	2020-04	8	6	42998	34914	0.000186	0.000172
B.1.1.459	2020-04	8	4	42998	34914	0.000186	0.000115
B.1.276	2020-04	8	6	42998	34914	0.000186	0.000172
B.1.321	2020-04	8	5	42998	34914	0.000186	0.000143
B.1.533	2020-04	8	6	42998	34914	0.000186	0.000172
B.6.6	2020-04	8	3	42998	34914	0.000186	8.59e-05
B.1.1.26	2020-04	7	6	42998	34914	0.000163	0.000172
B.1.1.464	2020-04	7	6	42998	34914	0.000163	0.000172
B.1.1.75	2020-04	6	6	42998	34914	0.00014	0.000172
B.1.110.2	2020-04	6	6	42998	34914	0.00014	0.000172
B.1.124	2020-04	7	6	42998	34914	0.000163	0.000172
B.1.187	2020-04	6	6	42998	34914	0.00014	0.000172
B.1.198	2020-04	6	6	42998	34914	0.00014	0.000172
B.1.324	2020-04	7	6	42998	34914	0.000163	0.000172
B.1.359	2020-04	6	6	42998	34914	0.00014	0.000172
B.1.557	2020-04	6	6	42998	34914	0.00014	0.000172
B.18	2020-04	7	6	42998	34914	0.000163	0.000172
B.1.1.161	2020-04	7	2	42998	34914	0.000163	5.73e-05
B.1.1.28	2020-04	7	5	42998	34914	0.000163	0.000143
B.1.159	2020-04	7	5	42998	34914	0.000163	0.000143
B.1.178	2020-04	7	5	42998	34914	0.000163	0.000143
B.1.518	2020-04	7	3	42998	34914	0.000163	8.59e-05
B.1.586	2020-04	7	0	42998	34914	0.000163	0
